name;;sort_name
Asia -- Russia -- Nerchinsk;;Asia -- Russia -- Nerchinsk
Asia -- Russia -- Siberia;;Asia -- Russia -- Siberia
Asia -- Samoa;;Asia -- Samoa
Asia -- Saudi Arabia;;Asia -- Saudi Arabia
Asia -- South Korea;;Asia -- South Korea
Asia -- South Korea -- Seoul -- Sogang University;;Asia -- South Korea -- Seoul -- Sogang University
Asia -- Sri Lanka;;Asia -- Sri Lanka
Asia -- Sri Lanka -- Jaffna;;Asia -- Sri Lanka -- Jaffna
Asia -- Syria;;Asia -- Syria
Asia -- Syria -- Aleppo;;Asia -- Syria -- Aleppo
Asia -- Syria -- Debek -- Deir Mar Musa al-Habashi;;Asia -- Syria -- Debek -- Deir Mar Musa al-Habashi
Asia -- Syria -- Nabk -- Mar Musa al-Habashi;;Asia -- Syria -- Nabk -- Mar Musa al-Habashi
Asia -- Taiwan;;Asia -- Taiwan
Asia -- Taiwan -- Lan Island;;Asia -- Taiwan -- Lan Island
Asia -- Thailand;;Asia -- Thailand
Asia -- Tibet;;Asia -- Tibet
Asia -- Turkey;;Asia -- Turkey
Asia -- Turkey -- Ankara;;Asia -- Turkey -- Ankara
Asia -- Turkey -- Istanbul;;Asia -- Turkey -- Istanbul
Asia -- Turkey -- Kadiköy;;Asia -- Turkey -- Kadiköy
Asia -- Vietnam;;Asia -- Vietnam
Asia -- Vietnam -- Cacham -- Faifo;;Asia -- Vietnam -- Cacham -- Faifo
Asia -- Vietnam -- Pulocamby -- Nuocman;;Asia -- Vietnam -- Pulocamby -- Nuocman
Asia -- Vietnam -- Tonkin;;Asia -- Vietnam -- Tonkin
Asia -- Vietnam -- Tonkin -- Hoi An;;Asia -- Vietnam -- Tonkin -- Hoi An
Asia -- Yemen;;Asia -- Yemen
Asia -- Yemen -- Socotra;;Asia -- Yemen -- Socotra
Asiat -- India;;Asiat -- India
Australia;;Australia
Australia -- Melbourne;;Australia -- Melbourne
Australia -- Melbourne -- Royal Park;;Australia -- Melbourne -- Royal Park
Australia -- New South Wales -- Sydney;;Australia -- New South Wales -- Sydney
Australia -- New South Wales -- Sydney -- Lane Cove;;Australia -- New South Wales -- Sydney -- Lane Cove
Australia -- New South Wales -- Sydney -- Lane Cove -- Saint Ignatius' College;;Australia -- New South Wales -- Sydney -- Lane Cove -- Saint Ignatius' College
Australia -- New South Wales -- Sydney -- Milson’s Point -- St. Aloysisus’ College;;Australia -- New South Wales -- Sydney -- Milson’s Point -- St. Aloysisus’ College
Australia -- New South Wales -- Sydney -- North Shore;;Australia -- New South Wales -- Sydney -- North Shore
Australia -- New South Wales -- Sydney -- St. Ignatius’ College;;Australia -- New South Wales -- Sydney -- St. Ignatius’ College
Australia -- New South Wales -- Syndey -- Riverview;;Australia -- New South Wales -- Syndey -- Riverview
Australia -- Northern Territory;;Australia -- Northern Territory
Australia -- Queensland -- Brisbane;;Australia -- Queensland -- Brisbane
Australia -- Queensland -- Brisbane -- Toowong Catholic Community;;Australia -- Queensland -- Brisbane -- Toowong Catholic Community
Australia -- Queensland -- Brisbane -- University of Queensland -- Saint Leo’s College;;Australia -- Queensland -- Brisbane -- University of Queensland -- Saint Leo’s College
Australia -- South Australia;;Australia -- South Australia
Australia -- South Australia -- Adelaide;;Australia -- South Australia -- Adelaide
Australia -- South Australia -- Adelaide -- Aquinas College;;Australia -- South Australia -- Adelaide -- Aquinas College
Australia -- South Australia -- Sevenhill -- Saint Aloyisius College;;Australia -- South Australia -- Sevenhill -- Saint Aloyisius College
Australia -- Sydney;;Australia -- Sydney
Australia -- Victoria -- Greenvale;;Australia -- Victoria -- Greenvale
Australia -- Victoria -- Greenvale -- Corpus Christi Community;;Australia -- Victoria -- Greenvale -- Corpus Christi Community
Australia -- Victoria -- Melbourne;;Australia -- Victoria -- Melbourne
Australia -- Victoria -- Melbourne -- Jesuit Theological College;;Australia -- Victoria -- Melbourne -- Jesuit Theological College
Australia -- Victoria -- Melbourne -- Kew;;Australia -- Victoria -- Melbourne -- Kew
Australia -- Victoria -- Melbourne -- Kew -- Xavier College;;Australia -- Victoria -- Melbourne -- Kew -- Xavier College
Australia -- Victoria -- Richmond;;Australia -- Victoria -- Richmond
Austria;;Austria
Austria -- Carinithia -- Gurk;;Austria -- Carinithia -- Gurk
Austria -- Carinithia -- Klagenfurt;;Austria -- Carinithia -- Klagenfurt
Austria -- Innsbruck;;Austria -- Innsbruck
Austria -- Vienna;;Austria -- Vienna
Belarus -- Polotsk;;Belarus -- Polotsk
Belgium;;Belgium
Belgium -- Antwerp;;Belgium -- Antwerp
Belgium -- Leuvain;;Belgium -- Leuvain
Belgium -- Brussels -- Leuven;;Belgium -- Brussels -- Leuven
Berlin -- Germany;;Berlin -- Germany
Bolivia -- Moxos;;Bolivia -- Moxos
Brasil;;Brasil
California;;California
Canada;;Canada
Canada -- Buckingham, Quebec;;Canada -- Buckingham, Quebec
Canada -- Kingston;;Canada -- Kingston
Central America;;Central America
Central America -- Mexico;;Central America -- Mexico
Chile -- San Felipe de Aconcagua;;Chile -- San Felipe de Aconcagua
China;;China
China -- Beijing;;China -- Beijing
Ecuador -- Quito;;Ecuador -- Quito
Egypt;;Egypt
El Salvador;;El Salvador
El Salvador -- San Salvador;;El Salvador -- San Salvador
El Salvador -- San Salvador;;El Salvador -- San Salvador
England;;England
England -- London;;England -- London
Europe;;Europe
Europe - Italy;;Europe - Italy
Europe - Vatican City;;Europe - Vatican City
Europe -- Albania;;Europe -- Albania
Europe -- Austria;;Europe -- Austria
Europe -- Austria -- Burgenland;;Europe -- Austria -- Burgenland
Europe -- Austria -- Carinthia;;Europe -- Austria -- Carinthia
Europe -- Austria -- Feldkirch;;Europe -- Austria -- Feldkirch
Europe -- Austria -- Feldkirch -- St. Matutina;;Europe -- Austria -- Feldkirch -- St. Matutina
Europe -- Austria -- Feldkirch -- St. Nikolaus;;Europe -- Austria -- Feldkirch -- St. Nikolaus
Europe -- Austria -- Feldkirch -- Stella Matutina;;Europe -- Austria -- Feldkirch -- Stella Matutina
Europe -- Austria -- Graz;;Europe -- Austria -- Graz
Europe -- Austria -- Innsbruck;;Europe -- Austria -- Innsbruck
