display_name;;name;;birth_date;;death_date
Berghe, Paulus van den, 1609-1683;;Berghe, Paulus van den;;1609;;1683
Bergöend, Bernardo, 1871-1943;;Bergöend, Bernardo;;1871;;1943
Bermúdez, Gabriel, active 1723-1726;;Bermúdez, Gabriel;;active 1723;;1726
Bernard, Charles André, 1923-2001;;Bernard, Charles André;;1923;;2001
Bernard, Prosper, 1902-1943;;Bernard, Prosper;;1902;;1943
Bernardt, Georg, 1595-1660;;Bernardt, Georg;;1595;;1660
Berrigan, Daniel, 1921-2016;;Berrigan, Daniel;;1921;;2016
Berruyer, Isaac-Joseph, 1681-1758;;Berruyer, Isaac-Joseph;;1681;;1758
Berse, Jasper, 1515-1553;;Berse, Jasper;;1515;;1553
Berthieu, Jacques, 1838-1896;;Berthieu, Jacques;;1838;;1896
Berthieu, Jacques, Saint, 1838-1896;;Berthieu, Jacques, Saint;;1838;;1896
Bertolín, Miguel, 1646-1680;;Bertolín, Miguel;;1646;;1680
Bertonio, Ludovico, 1555-1628;;Bertonio, Ludovico;;1555;;1628
Bertrand, Joseph, 1801-1884;;Bertrand, Joseph;;1801;;1884
Berze, Gaspar, 1515-1553;;Berze, Gaspar;;1515;;1553
Beschet, Paul, 1920-;;Beschet, Paul;;1920;;
Beschi, Costanzo Giuseppe, 1680-1747;;Beschi, Costanzo Giuseppe;;1680;;1747
Besson, Joseph, 1607-1691;;Besson, Joseph;;1607;;1691
Bettendorff, Johann Philipp, 1627-1698;;Bettendorff, Johann Philipp;;1627;;1698
Bettinelli, Saverio, 1718-1808;;Bettinelli, Saverio;;1718;;1808
Beyer, Jean, 1914-2002;;Beyer, Jean;;1914;;2002
Biancani, Giuseppe, 1566-1624;;Biancani, Giuseppe;;1566;;1624
Biard, Pierre, 1565-1622;;Biard, Pierre;;1565;;1622
Bidermann, Jakob, 1578-1649;;Bidermann, Jakob;;1578;;1649
Bill, Ryan, active 20th-21st century;;Bill, Ryan;;active 20th-21st century;;
Billot, Louis, 1846-1931;;Billot, Louis;;1846;;1931
Binet, Etienne, 1569-1639;;Binet, Etienne;;1569;;1639
Binet, Étienne, 1569-1639;;Binet, Étienne;;1569;;1639
Bireley, Robert, 1933-;;Bireley, Robert;;1933;;
Bishop, George, 1922-;;Bishop, George;;1922;;
Bisselius, Johannes, 1601-1682;;Bisselius, Johannes;;1601;;1682
Bisson, Peter, active 20th-21st century;;Bisson, Peter;;active 20th-21st century;;
Bivero, Pedro de, 1572-1656;;Bivero, Pedro de;;1572;;1656
Blackfan, John, 1560-1641;;Blackfan, John;;1560;;1641
Bladel, Frans van, 1922-;;Bladel, Frans van;;1922;;
Bladel, Louis van, 1923-2000;;Bladel, Louis van;;1923;;2000
Blet, Pierre, 1918-2009;;Blet, Pierre;;1918;;2009
Bloemert, Augustijn Alst, 1585-1659;;Bloemert, Augustijn Alst;;1585;;1659
Blot, Paul de Chauvigny de, 1924-;;Blot, Paul de Chauvigny de;;1924;;
Bobadilla, Nicolás, 1511-1590;;Bobadilla, Nicolás;;1511;;1590
Bobola, Andrzej, Saint, 1591-1657;;Bobola, Andrzej, Saint;;1591;;1657
Bocanegra, Matias de, 1612-1668;;Bocanegra, Matias de;;1612;;1668
Bodnar, Edward W., 1920-2011;;Bodnar, Edward W.;;1920;;2011
Bohdziewicz, Stanisław, 1608-1678;;Bohdziewicz, Stanisław;;1608;;1678
Boisgelin, Louis de, 1815-1842;;Boisgelin, Louis de;;1815;;1842
Bolewski, Jacek, 1946-2012;;Bolewski, Jacek;;1946;;2012
Bolland, Jean, 1596-1665;;Bolland, Jean;;1596;;1665
Bolland, Johannes, 1596-1665;;Bolland, Johannes;;1596;;1665
Bolsius, Ernst, 1928-;;Bolsius, Ernst;;1928;;
Bonfacio, Juan, 1538-16016;;Bonfacio, Juan;;1538;;16016
Bongaerts, Paul, 1831-1867;;Bongaerts, Paul;;1831;;1867
Bonifacio, Juan, 1538-1606;;Bonifacio, Juan;;1538;;1606
Bonjour, Guillaume, 1670-1714;;Bonjour, Guillaume;;1670;;1714
Bonsirven, Joseph, 1880-1958;;Bonsirven, Joseph;;1880;;1958
Boone, Jean Baptiste, 1794-1871;;Boone, Jean Baptiste;;1794;;1871
Borgondio, Orazio, 1675-1741;;Borgondio, Orazio;;1675;;1741
Borja, Francisco de, Saint, 1510-1572;;Borja, Francisco de, Saint;;1510;;1572
Borri, Cristoforo, 1583-1632;;Borri, Cristoforo;;1583;;1632
Bortas, Franjo, 1903-1947;;Bortas, Franjo;;1903;;1947
Boryně, František, 1663-1722;;Boryně, František;;1663;;1722
Boscovich, Ruder Josip, 1711-1787;;Boscovich, Ruder Josip;;1711;;1787
Boscovich, Ruggero Giuseppe, 1711-1787;;Boscovich, Ruggero Giuseppe;;1711;;1787
Boscovich, Ruđer Josip, 1711-1787;;Boscovich, Ruđer Josip;;1711;;1787
Bosgrave, James, c.1547-1623;;Bosgrave, James;;c.1547;;1623
Bosmans, Henri, 1852-1928;;Bosmans, Henri;;1852;;1928
Botero, Giovanni, 1540-1617;;Botero, Giovanni;;1540;;1617
Bottlere, Andreas, 1706-1774;;Bottlere, Andreas;;1706;;1774
Bouchard, James Chrysostom, 1823-1889;;Bouchard, James Chrysostom;;1823;;1889
Bouchet, Jean Venant, 1655-1732;;Bouchet, Jean Venant;;1655;;1732
Boudier, Claude Stanislaus, 1686-1757;;Boudier, Claude Stanislaus;;1686;;1757
Bougeant, Guillaume Hyacinthe, 1690-1743;;Bougeant, Guillaume Hyacinthe;;1690;;1743
Bouillard, Henri, 1908-1981;;Bouillard, Henri;;1908;;1981
Boulad, Henri, 1931-;;Boulad, Henri;;1931;;
Boulanger, Clément, 1805-1842;;Boulanger, Clément;;1805;;1842
Bouvet, Joachim, 1656-1730;;Bouvet, Joachim;;1656;;1730
Bouvier, Émile, 1906-1985;;Bouvier, Émile;;1906;;1985
Bouwens, Gerard, 1634-1711;;Bouwens, Gerard;;1634;;1711
Bovio, Carlo, 1614-1705;;Bovio, Carlo;;1614;;1705
Boyle, Greg, 1954-;;Boyle, Greg;;1954;;
Boym, Michał, 1612-1659;;Boym, Michał;;1612;;1659
Boym, Michał, c.1612-1659;;Boym, Michał;;c.1612;;1659
Bracken, Joseph A., 1930-;;Bracken, Joseph A.;;1930;;
Brackley, Dean, 1946-2011;;Brackley, Dean;;1946;;2011
Brajičić, Rudolf, 1918-2007;;Brajičić, Rudolf;;1918;;2007
Brancati, Francesco, 1607-1671;;Brancati, Francesco;;1607;;1671
Brandis, Erich, 1834-1921;;Brandis, Erich;;1834;;1921
Brantschen, Niklaus, 1937-;;Brantschen, Niklaus;;1937;;
Braun, Joseph, 1857-1947;;Braun, Joseph;;1857;;1947
Braun, Roger, 1910-1981;;Braun, Roger;;1910;;1981
Bravo, Bartolomé, 1554-1607;;Bravo, Bartolomé;;1554;;1607
Breemen, Piet van, 1927-;;Breemen, Piet van;;1927;;
Bremer, Józef, 1953-;;Bremer, Józef;;1953;;
Bremond, Henri, 1865-1933;;Bremond, Henri;;1865;;1933
Brennan, Frank, 1927-;;Brennan, Frank;;1927;;
Bresciani, Antonio, 1798-1862;;Bresciani, Antonio;;1798;;1862
Bressani, Francesco Giuseppe, 1612-1672;;Bressani, Francesco Giuseppe;;1612;;1672
Brébeuf, Jean de, Saint, 1593-1649;;Brébeuf, Jean de, Saint;;1593;;1649
Briano, Giacomo, 1589-1649;;Briano, Giacomo;;1589;;1649
Briant, Alexander, 1556-1581;;Briant, Alexander;;1556;;1581
Bridel, Bedřich, 1619-1680;;Bridel, Bedřich;;1619;;1680
Bridel, Fridrich, 1619-1680;;Bridel, Fridrich;;1619;;1680
Briet, Philippe, 1601-1668;;Briet, Philippe;;1601;;1668
Brignole Sale, Anton Giulio, 1605-1662;;Brignole Sale, Anton Giulio;;1605;;1662
Brisacier, Jean de, 1603-1668;;Brisacier, Jean de;;1603;;1668
Brito, Alberto Teixeira de, 1945-;;Brito, Alberto Teixeira de;;1945;;
Brito, João de, Saint, 1647-1693;;Brito, João de, Saint;;1647;;1693
Brito, João de, Saint, Saint, 1647-1693;;Brito, João de, Saint, Saint;;1647;;1693
Brito, João de, Saint, 1647-1693;;Brito, João de, Saint;;1647;;1693
Brixi, František Xaver, 1732-1771;;Brixi, František Xaver;;1732;;1771
Broeckart, Joseph, 1807- ???;;Broeckart, Joseph;;1807;; ???
Broeckhoven, Egide van, 1933-1967;;Broeckhoven, Egide van;;1933;;1967
Brooks, John E., 1923-2012;;Brooks, John E.;;1923;;2012
Brosnahan, Timothy, 1865-1915;;Brosnahan, Timothy;;1865;;1915
Brosse, Jean-Baptiste de la, 1724-1782;;Brosse, Jean-Baptiste de la;;1724;;1782
Browe, Peter, 1876-1949;;Browe, Peter;;1876;;1949
Browne, Frank, 1880-1960;;Browne, Frank;;1880;;1960
Brumoy, Pierre, 1688-1742;;Brumoy, Pierre;;1688;;1742
Brunner, Andreas, 1589-1650;;Brunner, Andreas;;1589;;1650
Brunner, August, 1984-1985;;Brunner, August;;1984;;1985
Bruno, Vincenzo, active 16th-17th century;;Bruno, Vincenzo;;active 16th;;17th century
Brzozowski, Tadeusz, 1749-1820;;Brzozowski, Tadeusz;;1749;;1820
Brébeuf, Jean de, Saint, 1593-1649;;Brébeuf, Jean de, Saint;;1593;;1649
Brémond, Henri, 1865-1933;;Brémond, Henri;;1865;;1933
Buchta, Ján, 1922-1972;;Buchta, Ján;;1922;;1972
Buczyński, Vincent, 1789-1853;;Buczyński, Vincent;;1789;;1853
Buffier, Claude, 1661-1737;;Buffier, Claude;;1661;;1737
Buglio, Luigi, 1606-1682;;Buglio, Luigi;;1606;;1682
Bulck, Gaston van, 1903-1966;;Bulck, Gaston van;;1903;;1966
Burel, Gilbert, 1585-1661;;Burel, Gilbert;;1585;;1661
Burgeois, Jean, 1574-1650;;Burgeois, Jean;;1574;;1650
Burghardt, Walter J., 1914-2008;;Burghardt, Walter J.;;1914;;2008
